Month,Date,Island,site,depth_ft,observer,transect,common_name,max_size,count,latin_name,common_family,latin_family,trophic_guild,a,b,biomass_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,blue_tang,20,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,223.1431181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,striped_parrotfish_initial,10,2,Scarus_iseri,parrotfish,Scaridae,Herbivore,0.0158,3.02,33.08926212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,striped_parrotfish_initial,20,1,Scarus_iseri,parrotfish,Scaridae,Herbivore,0.0158,3.02,134.204684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,striped_parrotfish_terminal,30,1,Scarus_iseri,parrotfish,Scaridae,Herbivore,0.0158,3.02,456.6287756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,redband_parrotfish_initial,10,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,33.05337854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,redband_parrotfish_initial,20,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,293.4001583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,redband_parrotfish_terminal,30,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,1052.319964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,stoplight_parrotfish_terminal,40,3,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,3811.449348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,stoplight_parrotfish_terminal,50,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,2442.9537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,yellowtail_snapper,40,1,Ocyurus_chrysurus,snapper,Lutjanidae,Macrocarnivore,0.0295,2.79,870.100447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,french_grunt,20,1,Haemulon_flavolineatum,grunt,Haemulidae,Invertivore,0.0186,2.99,144.4084582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
