Month,Year,Passenger_vessel_calls,Passengers
January,2018,81,218430
February,2018,80,220603
March,2018,80,232902
April,2018,47,151687
May,2018,38,123203
June,2018,33,115112
July,2018,39,134926
August,2018,37,126275
September,2018,29,92592
October,2018,46,139982
November,2018,58,169997
December,2018,68,195338
January,2019,95,271111
February,2019,71,197234
March,2019,57,172700
April,2019,48,154983
May,2019,33,107900
June,2019,30,104527
July,2019,34,118453
August,2019,35,116806
September,2019,28,88445
October,2019,37,113418
November,2019,62,173373
December,2019,71,212061
January,2020,84,242908
February,2020,77,207959
March,2020,31,87273
April,2020,0,0
May,2020,0,0
June,2020,0,0
July,2020,0,0
August,2020,0,0
September,2020,0,0
October,2020,0,0
November,2020,0,0
December,2020,0,0
January,2021,0,0
February,2021,0,0
March,2021,0,0
April,2021,0,0
May,2021,0,0
June,2021,0,0
July,2021,0,0
August,2021,0,0
September,2021,0,0
October,2021,0,0
November,2021,0,0
December,2021,0,0
January,2022,0,0
February,2022,0,0
March,2022,9,16879
April,2022,18,45481
May,2022,22,60769
June,2022,28,89868
July,2022,22,77560
August,2022,24,85110
September,2022,18,53465
October,2022,25,79669
November,2022,42,108203
December,2022,53,130936
